id,uuid,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,quality_grade,license,place_guess,latitude,longitude,positional_accuracy,scientific_name,common_name,iconic_taxon_name,taxon_id,common_name_y,iconic_taxon_name_y,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,env_data_completeness
114837222,7e70f44e-6d1d-44fb-bac9-02449e260bc3,2022-05-02,2022-05-02 17:59:34+00:00,Pacific Time (US & Canada),81429,kmerrill,,needs_id,,"Buena Vista Park Trail, Vista, CA, US",33.1578,-117.2466883333,4.0,Accipitridae,"Hawks, Eagles, and Kites",Aves,5067.0,"Hawks, Eagles, and Kites",Aves,105.0,3.446496963500977,254.40792846679688,0.1380361467599868,22.0,47.0,128.0,54.0,72.0,21.0,1.0
274985090,0b1c5dcd-dc86-46e0-891f-2ce5422e3a21,2025-04-27,2025-04-27 20:02:53+00:00,Pacific Time (US & Canada),7201421,alanislas,,needs_id,CC-BY-NC,Vista,33.1553230286,-117.2490539551,500.0,Acer saccharinum,silver maple,Plantae,54762.0,silver maple,Plantae,138.0,7.07758903503418,141.46922302246094,0.1502064019441604,52.0,0.0,128.0,56.0,71.0,20.0,1.0
240586463,a4f89b5c-0072-42bf-8605-63fb7f567ece,2024-09-08,2024-09-08 16:06:29+00:00,Pacific Time (US & Canada),81429,kmerrill,,research,,"Buena Vista Park Trail, Vista, CA, US",33.1526361667,-117.24665,11.0,Aceria boycei,Ragweed Gall Mite,Arachnida,360060.0,Ragweed Gall Mite,Arachnida,102.0,2.992177724838257,201.70968627929688,0.1908106505870819,71.0,0.0,128.0,55.0,70.0,21.0,1.0
335831390,b259adff-ec8d-41a0-ae8b-b54831389958,2026-01-22,2026-01-22 18:09:32+00:00,Pacific Time (US & Canada),81429,kmerrill,,needs_id,,"Buena Vista Park Trail, Vista, CA, US",33.1569221667,-117.24765,76.0,Aceria paracalifornica,California Sagebrush Gall Mite,Arachnida,447949.0,California Sagebrush Gall Mite,Arachnida,112.0,9.209413528442385,72.57080078125,0.2407880127429962,21.0,16.0,128.0,54.0,71.0,21.0,1.0
210862709,ed853534-d6a7-49dd-a522-62871fd50a8e,2024-04-26,2024-04-26 22:13:00+00:00,Pacific Time (US & Canada),525243,billpalmer,Bill Palmer,needs_id,CC-BY-NC,"Buena Vista Park, Shadowridge Dr, Vista, CA 92081, USA",33.1573474864,-117.2469510979,65.0,Achradocera,,Insecta,311477.0,,Insecta,102.0,1.444566011428833,230.06492614746097,0.1677400469779968,23.0,54.0,128.0,54.0,71.0,21.0,1.0
269034506,38acc76b-6377-4012-8156-0e7ff97dc10c,2025-04-06,2025-04-06 23:24:03+00:00,Pacific Time (US & Canada),9090950,oliviahm,,needs_id,CC-BY-NC,"Buena Vista Park Trail, Vista, CA, US",33.1526986758,-117.2471519157,4.0,Achyrachaena mollis,Blow Wives,Plantae,56852.0,Blow Wives,Plantae,105.0,4.968410968780518,138.14515686035156,0.1988129466772079,71.0,0.0,128.0,55.0,70.0,21.0,1.0
23651869,6c4831ba-4c6e-4e86-82e6-9f28274fe346,2019-04-28,2019-04-28 15:44:59+00:00,Pacific Time (US & Canada),745533,mikan,,needs_id,CC-BY-NC,"Buena Vista Park, 1601 Shadowridge Dr, Vista, CA 92081, USA",33.15254089,-117.24750712,9.0,Acmispon,deervetch,Plantae,64336.0,deervetch,Plantae,104.0,5.125842094421387,154.46279907226562,0.1764517575502395,52.0,0.0,128.0,55.0,70.0,21.0,1.0
146563683,49ff373b-2991-4abc-84c7-8ab478ed1396,2023-01-14,2023-01-14 19:28:16+00:00,Pacific Time (US & Canada),6425188,kfellenz,,needs_id,CC-BY-NC,"Buena Vista Park Trail, Vista, CA, US",33.1569595701,-117.2454060641,984.0,Acmispon,deervetch,Plantae,64336.0,deervetch,Plantae,132.0,18.380762100219727,278.4039001464844,0.1450849622488021,52.0,0.0,128.0,53.0,69.0,21.0,1.0
210626686,85f5589a-5c84-4ec9-a446-80b2b190a71f,2024-04-26,2024-04-26 21:51:00+00:00,Pacific Time (US & Canada),525243,billpalmer,Bill Palmer,needs_id,CC-BY-NC,"Buena Vista Park, Shadowridge Dr, Vista, CA 92081, USA",33.1563594736,-117.2471012996,128.0,Acmispon,deervetch,Plantae,64336.0,deervetch,Plantae,105.0,1.444555163383484,129.9354248046875,0.2103357166051864,22.0,37.0,128.0,54.0,71.0,21.0,1.0
31315172,79712348-254f-4974-9f43-4ee163075dd8,2019-08-21,2019-08-22 00:26:50+00:00,Pacific Time (US & Canada),1418067,smfang,,research,CC-BY-NC,"Buena Vista Park, Vista, CA, US",33.1520111667,-117.245195,8.0,Acmispon americanus,Spanish clover,Plantae,57049.0,Spanish clover,Plantae,91.0,1.107679843902588,270.0,0.2020478397607803,71.0,0.0,128.0,56.0,69.0,19.0,1.0
